City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
282,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Page 63 hostel
285,Manzanillo,CU,88.99,few clouds,20.3433,-77.1167,Hotel Venus
289,Tual,ID,83.44,overcast clouds,-5.6667,132.75,Suita
290,Ligayan,PH,80.26,overcast clouds,4.6533,119.4706,No hotel found
292,Porto Novo,BJ,80.42,overcast clouds,6.4965,2.6036,Hôtel 6500 CFA
293,Karratha,AU,84.56,overcast clouds,-20.7377,116.8463,Karratha International Hotel
297,Tonantins,BR,75.97,overcast clouds,-2.8731,-67.8022,Red Davi
306,Dom Pedro,BR,77.2,overcast clouds,-4.4833,-44.45,No hotel found
311,Tarakan,ID,78.3,scattered clouds,3.3,117.6333,Hotel Dynasty
312,Pimenta Bueno,BR,78.94,scattered clouds,-11.6725,-61.1936,Cristalina palace hotel
317,Ndele,CF,79.36,broken clouds,8.4109,20.6473,No hotel found
320,Tabou,CI,78.85,clear sky,4.423,-7.3528,hôtel le rochet
326,Nioro,GM,81.82,broken clouds,13.35,-15.75,No hotel found
332,Sao Filipe,CV,76.39,overcast clouds,14.8961,-24.4956,Bela Vista
334,Honiara,SB,78.96,overcast clouds,-9.4333,159.95,King Solomon Hotel
338,Am Timan,TD,77.41,clear sky,11.0297,20.2827,Nimla
341,Porto Belo,BR,78.75,broken clouds,-27.1578,-48.5531,Residencial Maravilha
344,Cleburne,US,79.41,broken clouds,32.3476,-97.3867,Liberty Hotel
345,Tadine,NC,79.54,clear sky,-21.55,167.8833,No hotel found
346,Tsabong,BW,81.46,broken clouds,-26.0217,22.401,No hotel found
348,Black River,JM,81.34,broken clouds,18.0264,-77.8487,No hotel found
349,Nueva Loja,EC,78.82,overcast clouds,0.0847,-76.8828,Castillo Real
351,Cap Malheureux,MU,76.46,few clouds,-19.9842,57.6142,Cape Garden
355,San Lorenzo,PY,81.59,broken clouds,-25.3333,-57.5333,Hotel del Sur
358,Kavieng,PG,82.83,overcast clouds,-2.5744,150.7967,Kavieng Hotel
359,Domoni,KM,79.65,light rain,-12.2569,44.5319,Hotel Djadid
360,Cockburn Town,TC,78.76,scattered clouds,21.4612,-71.1419,The Salt Raker Inn
361,Bubaque,GW,78.48,scattered clouds,11.2833,-15.8333,Chez Julio
364,Soyo,AO,77.9,overcast clouds,-6.1349,12.3689,Hotel Maria Teres
370,Malakal,SS,79.93,clear sky,9.5334,31.6605,No hotel found
371,Axim,GH,79.36,few clouds,4.8699,-2.2405,Axim Beach Hotel
374,Bahia Blanca,AR,84.29,clear sky,-38.7196,-62.2724,Hotel Austral Bahía
376,Pisco,PE,75.25,dust,-13.7,-76.2167,La Portada
388,Vanimo,PG,76.6,overcast clouds,-2.6741,141.3028,CBC Guesthouse
389,Camocim,BR,80.53,scattered clouds,-2.9022,-40.8411,Hotel Camocim
393,Tevaitoa,PF,80.83,light rain,-16.7833,-151.5,Chambre d'hote
394,Yulara,AU,80.67,broken clouds,-25.2406,130.9889,Outback Pioneer Hotel & Lodge
402,Maceio,BR,78.24,few clouds,-9.6658,-35.7353,Maceió Hostel e Pousada
405,Tautira,PF,79.59,scattered clouds,-17.7333,-149.15,No hotel found
406,Tigre,AR,87.28,clear sky,-34.426,-58.5796,Posada de 1860
408,Batangafo,CF,76.95,clear sky,7.3008,18.2833,No hotel found
411,Valparaiso,CL,79.03,clear sky,-33.0393,-71.6273,Ibis Hotel
413,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Hotel Prainha
419,Takoradi,GH,79.68,clear sky,4.8845,-1.7554,Hillcrest
422,Nuevo Progreso,MX,77.9,overcast clouds,23.1667,-97.95,No hotel found
426,Bayshore Gardens,US,83.23,scattered clouds,27.4253,-82.5904,Quality Inn Bradenton - Sarasota North
436,Ewa Beach,US,82.35,broken clouds,21.3156,-158.0072,Hampton Inn & Suites Oahu/Kapolei
437,Doka,SD,77.47,light rain,13.5167,35.7667,No hotel found
438,Sorong,ID,80.42,overcast clouds,-0.8833,131.25,Hotel Membramo Marina
441,Kapoeta,SS,82.47,scattered clouds,4.7717,33.5903,Kuleu
443,Cayenne,GF,78.84,clear sky,4.9333,-52.3333,Central Hôtel
449,Boa Vista,BR,87.78,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
450,Thinadhoo,MV,81.0,few clouds,0.5333,72.9333,No hotel found
451,Sabang,ID,78.87,overcast clouds,5.8933,95.3214,Sabang Hill
453,Isangel,VU,82.09,broken clouds,-19.55,169.2667,Tanna Lodge
456,Vao,NC,75.81,few clouds,-22.6667,167.4833,Nataiwatch
458,Mogadishu,SO,78.39,clear sky,2.0371,45.3438,SYL Hotel
459,Russell,US,78.08,overcast clouds,32.3502,-85.1999,No hotel found
460,Sao Gabriel Da Cachoeira,BR,77.45,light rain,-0.1303,-67.0892,Casa de Hóspedes do CFRN/5ºBIS
465,Areia Branca,BR,84.4,overcast clouds,-4.9561,-37.1369,Areia Branca Apart Hotel
484,Hostotipaquillo,MX,76.89,overcast clouds,21.0667,-104.0667,No hotel found
487,Panlaitan,PH,80.65,overcast clouds,12.1191,119.8486,No hotel found
488,Chirongui,YT,82.33,light rain,-12.9319,45.1483,No hotel found
490,Upington,ZA,80.1,light rain,-28.4478,21.2561,Die Eiland Holiday Ressort
494,Terre-De-Bas,GP,78.58,clear sky,15.8501,-61.6442,Les Hauts de la Baie
503,Rockhampton,AU,75.09,clear sky,-23.3833,150.5,Rockhampton Plaza
511,Estelle,US,78.01,broken clouds,29.8458,-90.1067,No hotel found
516,Machilipatnam,IN,75.24,scattered clouds,16.1667,81.1333,Apsara Boarding and Lodging Hotel
517,Celestun,MX,83.05,overcast clouds,20.8667,-90.4,Hotel Flamingo Playa
521,Bambanglipuro,ID,76.44,overcast clouds,-7.95,110.2833,No hotel found
525,Sawakin,SD,75.42,overcast clouds,19.1059,37.3321,Hotel Halfa
527,Aquiraz,BR,82.49,overcast clouds,-3.9014,-38.3911,Pousada tia Fabíola
529,Denpasar,ID,80.26,scattered clouds,-8.65,115.2167,Hotel Candra Adiguna
532,Conde,BR,80.06,scattered clouds,-7.2597,-34.9075,Paladino
541,Alta Floresta,BR,78.39,broken clouds,-9.8756,-56.0861,Villas Hotel
542,Culasi,PH,76.21,heavy intensity rain,11.4272,122.056,Godo's Hotel
543,Jacareacanga,BR,78.55,overcast clouds,-6.2222,-57.7528,Hotel São Cristovão
544,Sotouboua,TG,76.66,clear sky,8.5667,0.9833,Verger
549,Ojinaga,MX,78.42,clear sky,29.5667,-104.4167,Hotel
555,Cardoso,BR,82.89,heavy intensity rain,-20.0819,-49.9142,No hotel found
562,Vila Do Maio,CV,77.79,broken clouds,15.1333,-23.2167,Residencial Jardins De Maio
567,Chinu,CO,82.9,broken clouds,9.1057,-75.3981,Restaurante y Hotel Punto y Coma
572,Kununurra,AU,75.18,overcast clouds,-15.7667,128.7333,Kununurra Country Club Resort
573,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,The Adventures Inn
575,Dakar,SN,76.08,clear sky,14.6937,-17.4441,翁记小吃
579,Tchaourou,BJ,78.37,few clouds,8.8865,2.5975,Auberge
581,Itapirapua,BR,78.44,moderate rain,-15.8233,-50.6133,No hotel found
583,Lujan,AR,85.82,clear sky,-34.5703,-59.105,Bella vita
587,Itarema,BR,79.7,broken clouds,-2.9248,-39.9167,Pousada Oásis
588,San Luis,AR,85.32,clear sky,-33.295,-66.3356,Hotel Dos Venados
589,Mayumba,GA,77.74,broken clouds,-3.432,10.6554,Résidence Hôtelière Fabso
590,Saint-Pierre,RE,76.68,light rain,-21.3393,55.4781,Tropic Hotel
594,Biak,ID,76.37,overcast clouds,-0.9131,122.8766,No hotel found
597,Sydney,AU,75.58,clear sky,-33.8679,151.2073,The Westin
599,Buchanan,LR,78.91,clear sky,5.8808,-10.0467,Phillipmena's Guesthouse
605,Acapulco,MX,84.02,broken clouds,16.8634,-99.8901,Hotel del Valle
608,Finschhafen,PG,81.23,overcast clouds,-6.6024,147.8681,No hotel found
609,Port Antonio,JM,82.31,few clouds,18.18,-76.4612,No hotel found
613,Poso,ID,76.05,overcast clouds,-1.3959,120.7524,Nusantara
618,Conceicao Das Alagoas,BR,82.18,light rain,-19.9147,-48.3883,No hotel found
622,Pundaguitan,PH,77.32,overcast clouds,6.3711,126.1689,No hotel found
623,Ovalle,CL,81.27,clear sky,-30.5983,-71.2003,Hotel Roxy
628,Novo Oriente,BR,85.86,broken clouds,-5.5344,-40.7742,No hotel found
630,Namatanai,PG,81.1,scattered clouds,-3.6667,152.4333,Namatanai Hotel
631,Diamantino,BR,85.96,few clouds,-14.4086,-56.4461,Hotel kayaby
633,Monte Alegre,BR,79.72,overcast clouds,-2.0078,-54.0692,No hotel found
635,Sola,VU,81.34,moderate rain,-13.8833,167.55,No hotel found
643,Tucuman,AR,86.0,clear sky,-26.8241,-65.2226,Suites San Luis
644,Bairiki,KI,84.2,few clouds,1.3292,172.9752,Marry's Motel
647,Labuhan,ID,76.57,moderate rain,-6.8844,112.2051,No hotel found
648,Moron,AR,87.03,clear sky,-34.6534,-58.6198,La Esquina
650,Mecca,SA,75.51,overcast clouds,21.4267,39.8261,Rehab Al Marwa Hotel 1
652,Santa Cruz,BO,80.06,moderate rain,-17.8,-63.1667,Aviador Hotel Boutique
657,Riachao Das Neves,BR,75.02,broken clouds,-11.7461,-44.91,No hotel found
