City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Current Description
59,Grootfontein,NA,-19.5667,18.1167,69.37,73,76,3.44,2023-01-02 21:23:42,light rain
60,Constitucion,CL,-35.3333,-72.4167,64.08,61,15,20.96,2023-01-02 21:23:43,few clouds
61,Nanortalik,GL,60.1432,-45.2371,10.45,62,64,12.24,2023-01-02 21:23:43,broken clouds
62,Kodiak,US,57.79,-152.4072,36.91,87,100,0.0,2023-01-02 21:23:44,light rain
63,Aklavik,CA,68.2191,-135.0107,3.2,78,100,11.5,2023-01-02 21:23:44,light snow
64,Hobart,AU,-42.8794,147.3294,58.05,78,75,11.5,2023-01-02 21:22:10,broken clouds
65,Ponta Do Sol,PT,32.6667,-17.1,61.72,64,38,8.9,2023-01-02 21:23:45,scattered clouds
66,Port Macquarie,AU,-31.4333,152.9167,69.89,76,86,5.26,2023-01-02 21:23:45,overcast clouds
67,Almaznyy,RU,48.0448,40.045,41.5,89,42,5.46,2023-01-02 21:23:45,scattered clouds
68,Tasiilaq,GL,65.6145,-37.6368,5.16,55,78,7.58,2023-01-02 21:23:46,broken clouds
69,Luderitz,NA,-26.6481,15.1594,66.18,79,0,7.92,2023-01-02 21:23:46,clear sky
70,Busselton,AU,-33.65,115.3333,58.32,86,0,13.69,2023-01-02 21:23:47,clear sky
71,Phan Thiet,VN,10.9333,108.1,72.27,89,92,3.0,2023-01-02 21:23:47,overcast clouds
72,Chute-Aux-Outardes,CA,49.1168,-68.399,22.98,63,100,4.61,2023-01-02 21:23:47,overcast clouds
73,Zhigansk,RU,66.7697,123.3711,-23.89,98,100,13.11,2023-01-02 21:23:48,overcast clouds
74,Sabinas Hidalgo,MX,26.5,-100.1667,90.59,14,7,12.68,2023-01-02 21:23:33,clear sky
75,Castro,BR,-24.7911,-50.0119,71.85,85,100,3.0,2023-01-02 21:23:48,overcast clouds
76,Mayahi,NE,13.9553,7.6712,63.0,24,36,11.36,2023-01-02 21:23:49,scattered clouds
77,Cape Town,ZA,-33.9258,18.4232,77.38,76,0,6.91,2023-01-02 21:23:49,clear sky
